ticker,name,exchange,commodity,current_price,day_change_percent,market_cap,currency,last_updated
PRU,Perseus Mining Limited,TSX,Gold,5.53000020980835,1.47,7575889732.679451,CAD,2026-01-15T06:44:25.961888
DSV,Discovery Silver Corp.,TSX,Silver,9.140000343322754,4.1,7375376552.618785,CAD,2026-01-15T06:44:26.716780
OLA,Orla Mining Ltd.,TSX,Gold,20.559999465942383,-1.86,6988266122.235834,CAD,2026-01-15T06:44:27.460085
EFR,Energy Fuels Inc.,TSX,Uranium,28.969999313354492,7.5,6874197506.028107,CAD,2026-01-15T06:44:28.231751
TXG,Torex Gold Resources Inc.,TSX,Gold,69.9800033569336,0.14,6727886900.056046,CAD,2026-01-15T06:44:28.888048
SSRM,SSR Mining Inc.,TSX,Gold,33.09000015258789,-0.09,6717307720.485516,CAD,2026-01-15T06:44:29.554300
KNT,K92 Mining Inc.,TSX,Gold,26.059999465942383,0.85,6342302908.144741,CAD,2026-01-15T06:44:30.143616
NGEX,NGEx Minerals Ltd.,TSX,Gold,29.15999984741211,-0.24,6307612514.033646,CAD,2026-01-15T06:44:30.902671
WGX,Westgold Resources Limited,TSX,Gold,6.210000038146973,2.81,5867404048.482464,CAD,2026-01-15T06:44:31.725704
NG,Novagold Resources Inc.,TSX,Gold,14.369999885559082,0.49,5847540770.990902,CAD,2026-01-15T06:44:32.537448
PPTA,Perpetua Resources Corp.,TSX,Diversified,44.189998626708984,2.55,5391682626.262871,CAD,2026-01-15T06:44:33.312860
ARIS,Aris Mining Corporation,TSX,Gold,24.950000762939453,3.1,5059860154.724121,CAD,2026-01-15T06:44:33.966781
AAUC,Allied Gold Corporation,TSX,Gold,37.810001373291016,2.44,4690169940.040913,CAD,2026-01-15T06:44:34.549451
EDR,Endeavour Silver Corp.,TSX,Gold,15.59000015258789,0.45,4586227254.297924,CAD,2026-01-15T06:44:35.254574
PDN,Paladin Energy Ltd.,TSX,Uranium,10.079999923706055,3.38,4576170993.043676,CAD,2026-01-15T06:44:35.830513
SEA,Seabridge Gold Inc.,TSX,Gold,43.56999969482422,0.74,4546386776.405907,CAD,2026-01-15T06:44:36.465361
SKE,Skeena Resources Limited,TSX,Gold,37.16999816894531,1.92,4501039040.221481,CAD,2026-01-15T06:44:36.982748
CG,Centerra Gold Inc.,TSX,Gold,22.170000076293945,-0.67,4473205908.963709,CAD,2026-01-15T06:44:37.566260
ERO,Ero Copper Corp.,TSX,Copper,42.5,2.61,4415335837.5,CAD,2026-01-15T06:44:38.208662
FVI,Fortuna Mining Corp.,TSX,Gold,14.319999694824219,-0.69,4395666905.843246,CAD,2026-01-15T06:44:38.941786
DML,Denison Mines Corp.,TSX,Uranium,4.849999904632568,4.08,4351859038.277706,CAD,2026-01-15T06:44:39.508468
WDO,Wesdome Gold Mines Ltd.,TSX,Gold,25.950000762939453,2.33,3917651244.4303703,CAD,2026-01-15T06:44:40.146404
TKO,Taseko Mines Limited,TSX,Copper,10.119999885559082,12.07,3647517251.952448,CAD,2026-01-15T06:44:40.761298
IE,Ivanhoe Electric Inc.,TSX,Gold,24.899999618530273,5.33,3606029647.755375,CAD,2026-01-15T06:44:41.369856
MAU,Montage Gold Corp.,TSX,Gold,9.84000015258789,0.2,3573724278.457382,CAD,2026-01-15T06:44:42.076667
AYA,Aya Gold & Silver Inc.,TSX,Silver,24.18000030517578,1.9,3431152271.4445724,CAD,2026-01-15T06:44:42.660321
FOM,Foran Mining Corporation,TSX,Copper,6.239999771118164,4.7,3365777695.5840054,CAD,2026-01-15T06:44:43.225166
CIA,Champion Iron Limited,TSX,Iron,5.96999979019165,1.88,3243243662.6001635,CAD,2026-01-15T06:44:43.855547
AII,Almonty Industries Inc.,TSX,Tungsten,12.520000457763672,-0.87,3211240807.3712883,CAD,2026-01-15T06:44:44.368326
SVM,Silvercorp Metals Inc.,TSX,Gold,13.970000267028809,2.27,3077748696.3094597,CAD,2026-01-15T06:44:45.031873
SGD,Snowline Gold Corp.,TSXV,Gold,17.479999542236328,0.0,3024329389.599304,CAD,2026-01-15T06:44:46.486541
VZLA,Vizsla Silver Corp.,TSX,Silver,8.229999542236328,0.61,2831895050.8761787,CAD,2026-01-15T06:44:45.703409
USA,Americas Gold and Silver Corporation,TSX,Silver,8.489999771118164,3.92,2698054890.22316,CAD,2026-01-15T06:44:47.432654
